NPI,YM_Date,sales,Units,Digital RX impressions,AMOUNT_SPENT_USD,REACH,LINK_CLICKS,IMPRESSIONS,HCP Interactioncs (Imperssion),VUMEDI Data,Call Activity,EMAIL_OPEN_COUNT,EMAIL_CLICK_COUNT
1467436279,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1467441352,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1467445999,01-08-2025,2.666666667,60,0,0,0,0,0,0,0,0,0,0
1467445999,01-08-2025,2.666666667,90,0,0,0,0,0,0,0,0,0,0
1467445999,01-08-2025,2.666666667,30,0,0,0,0,0,0,0,0,0,0
1467446112,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1467563296,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1467649368,01-08-2025,2,90,0,0,0,0,0,0,0,0,0,0
1467649368,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1467659318,01-08-2025,1.933333333,30,0,0,0,0,0,0,0,0,0,0
1467659318,01-08-2025,1.933333333,28,0,0,0,0,0,0,0,0,0,0
1467663856,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1467689505,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1467891333,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477067338,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477133221,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477161289,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477520872,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477522639,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477556587,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477643955,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477668572,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477706406,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477760437,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1477765493,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477796175,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1477879567,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1477936110,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1487093274,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1487095048,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1487277513,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1487279089,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1487608725,01-08-2025,2.666666667,120,0,0,0,0,0,0,0,0,0,0
1487642583,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1487679593,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1487856779,01-08-2025,3,15,0,0,0,0,0,0,0,0,0,0
1487869129,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1487871786,01-08-2025,1.933333333,14,0,0,0,0,0,0,0,0,0,0
1487871786,01-08-2025,1.933333333,30,0,0,0,0,0,0,0,0,0,0
1497020861,01-08-2025,0.333333333,30,0,0,0,0,0,0,0,0,0,0
1497048060,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497711931,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497715957,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1497862569,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497877500,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497883565,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497915599,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497963474,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497981583,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1497990980,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508029208,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508159823,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508174376,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1508187253,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508206822,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508263989,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508271859,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508402959,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508455288,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508835067,01-08-2025,1.333333333,120,0,0,0,0,0,0,0,0,0,0
1508856436,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1508912270,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1518200195,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1518288307,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1518499169,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1518679851,01-08-2025,0.933333333,28,0,0,0,0,0,0,0,0,0,0
1518910561,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1518919000,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1518920479,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1518955913,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1518991223,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1528014099,01-08-2025,2,15,0,0,0,0,0,0,0,0,0,0
1528014099,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1528016318,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528036498,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1528098720,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528105616,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528144250,01-08-2025,3.666666667,120,0,0,0,0,0,0,0,0,0,0
1528144250,01-08-2025,3.666666667,30,0,0,0,0,0,0,0,0,0,0
1528220779,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1528220779,01-08-2025,2,90,0,0,0,0,0,0,0,0,0,0
1528225695,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528294998,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528352614,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528422987,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528443397,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528507829,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528531050,01-08-2025,1.666666667,60,0,0,0,0,0,0,0,0,0,0
1528531050,01-08-2025,1.666666667,30,0,0,0,0,0,0,0,0,0,0
1528562832,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1528651395,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1538109004,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1538125992,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1538179338,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1538187547,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1538198171,01-08-2025,2,90,0,0,0,0,0,0,0,0,0,0
1538198171,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1538213483,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1538241369,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1538258314,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1538268438,01-08-2025,1.5,30,0,0,0,0,0,0,0,0,0,0
1538268438,01-08-2025,1.5,15,0,0,0,0,0,0,0,0,0,0
1538511746,01-08-2025,1.333333333,120,0,0,0,0,0,0,0,0,0,0
1538512033,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548203235,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1548224447,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548242118,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548263353,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1548294283,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548295306,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548371180,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1548371891,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1548420888,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548444045,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548447113,01-08-2025,0.933333333,28,0,0,0,0,0,0,0,0,0,0
1548490329,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548558034,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548558166,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1548619182,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1548795727,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1548831951,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1558301267,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1558317990,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1558335927,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1558341735,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1558353987,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1558384966,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1558517987,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1558535997,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1558562371,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1558624239,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1558740647,01-08-2025,3,90,0,0,0,0,0,0,0,0,0,0
1558817734,01-08-2025,0.5,15,0,0,0,0,0,0,0,0,0,0
1558895532,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1558956771,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568400471,01-08-2025,0.5,15,0,0,0,0,0,0,0,0,0,0
1568406288,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568415628,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568451649,01-08-2025,1,15,0,0,0,0,0,0,0,0,0,0
1568473965,01-08-2025,1.866666667,28,0,0,0,0,0,0,0,0,0,0
1568537314,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568540193,01-08-2025,2.5,15,0,0,0,0,0,0,0,0,0,0
1568540193,01-08-2025,2.5,30,0,0,0,0,0,0,0,0,0,0
1568561678,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568666535,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568684868,01-08-2025,0.933333333,28,0,0,0,0,0,0,0,0,0,0
1568722981,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568738334,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1568890952,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1568983633,01-08-2025,1.333333333,120,0,0,0,0,0,0,0,0,0,0
1578003554,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1578530804,01-08-2025,2.933333333,30,0,0,0,0,0,0,0,0,0,0
1578530804,01-08-2025,2.933333333,28,0,0,0,0,0,0,0,0,0,0
1578534335,01-08-2025,1.333333333,120,0,0,0,0,0,0,0,0,0,0
1578535720,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1578536728,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1578562393,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1578571576,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1578572962,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1578574216,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1578766796,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1578854618,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1578902797,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1578938338,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1578980462,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1588016448,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1588619142,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1588667398,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1588672794,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1588698369,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
